date,trend_score,keyword,region
2025-10-19,100,community care,austin
2025-10-26,83,community care,austin
2025-11-02,80,community care,austin
2025-11-09,80,community care,austin
2025-11-16,77,community care,austin
2025-11-23,63,community care,austin
2025-11-30,71,community care,austin
2025-12-07,72,community care,austin
2024-12-08,42,community care,new jersey
2024-12-15,53,community care,new jersey
2024-12-22,23,community care,new jersey
2024-12-29,40,community care,new jersey
2025-01-05,56,community care,new jersey
2025-01-12,57,community care,new jersey
2025-01-19,44,community care,new jersey
2025-01-26,52,community care,new jersey
2025-02-02,66,community care,new jersey
2025-02-09,54,community care,new jersey
2025-02-16,51,community care,new jersey
2025-02-23,51,community care,new jersey
2025-03-02,66,community care,new jersey
2025-03-09,49,community care,new jersey
2025-03-16,48,community care,new jersey
2025-03-23,47,community care,new jersey
2025-03-30,55,community care,new jersey
2025-04-06,67,community care,new jersey
2025-04-13,40,community care,new jersey
2025-04-20,59,community care,new jersey
2025-04-27,43,community care,new jersey
2025-05-04,70,community care,new jersey
2025-05-11,44,community care,new jersey
2025-05-18,37,community care,new jersey
2025-05-25,46,community care,new jersey
2025-06-01,71,community care,new jersey
2025-06-08,65,community care,new jersey
2025-06-15,60,community care,new jersey
2025-06-22,55,community care,new jersey
2025-06-29,49,community care,new jersey
2025-07-06,54,community care,new jersey
2025-07-13,81,community care,new jersey
2025-07-20,74,community care,new jersey
2025-07-27,65,community care,new jersey
2025-08-03,66,community care,new jersey
2025-08-10,65,community care,new jersey
2025-08-17,60,community care,new jersey
2025-08-24,52,community care,new jersey
2025-08-31,46,community care,new jersey
2025-09-07,53,community care,new jersey
2025-09-14,65,community care,new jersey
2025-09-21,68,community care,new jersey
2025-09-28,66,community care,new jersey
2025-10-05,68,community care,new jersey
2025-10-12,55,community care,new jersey
2025-10-19,73,community care,new jersey
2025-10-26,64,community care,new jersey
2025-11-02,100,community care,new jersey
2025-11-09,98,community care,new jersey
2025-11-16,70,community care,new jersey
2025-11-23,56,community care,new jersey
2025-11-30,53,community care,new jersey
2025-12-07,56,community care,new jersey
2024-12-08,65,pilates,chicago
2024-12-15,67,pilates,chicago
2024-12-22,66,pilates,chicago
2024-12-29,92,pilates,chicago
2025-01-05,100,pilates,chicago
2025-01-12,88,pilates,chicago
2025-01-19,77,pilates,chicago
2025-01-26,85,pilates,chicago
2025-02-02,75,pilates,chicago
2025-02-09,76,pilates,chicago
2025-02-16,84,pilates,chicago
2025-02-23,81,pilates,chicago
2025-03-02,76,pilates,chicago
2025-03-09,70,pilates,chicago
2025-03-16,77,pilates,chicago
2025-03-23,80,pilates,chicago
2025-03-30,76,pilates,chicago
2025-04-06,76,pilates,chicago
2025-04-13,78,pilates,chicago
2025-04-20,73,pilates,chicago
2025-04-27,73,pilates,chicago
2025-05-04,78,pilates,chicago
2025-05-11,76,pilates,chicago
2025-05-18,73,pilates,chicago
2025-05-25,78,pilates,chicago
2025-06-01,87,pilates,chicago
2025-06-08,77,pilates,chicago
2025-06-15,72,pilates,chicago
2025-06-22,75,pilates,chicago
2025-06-29,70,pilates,chicago
2025-07-06,86,pilates,chicago
2025-07-13,83,pilates,chicago
2025-07-20,90,pilates,chicago
2025-07-27,86,pilates,chicago
2025-08-03,78,pilates,chicago
2025-08-10,76,pilates,chicago
2025-08-17,72,pilates,chicago
